58548,0,,WX
58549,0,,WX
58550,0,,WX
58555,0,,WX
33011,0,,WX
33012,0,,WX
40921,0,,WX
43151,0,,WX
47501,0,,WX
47420,0,,WX
47500,0,,WX
47502,0,,WX
47503,0,,WX
47504,0,,WX
47506,0,,WX
47507,0,,WX
47508,0,,WX
47874,0,,WX
50003,0,,WX
48570,0,,WX
49692,0,,WX
50294,0,,WX
48821,0,,WX
51624,0,,WX
51625,0,,WX
51749,0,,WX
52809,0,,WX
53084,0,,WX
55441,0,,WX
57584,0,,WX
57141,0,,WX
57724,0,,WX
57182,0,,WX
57427,0,,WX
57543,0,,WX
60490,0,,WX
61184,0,,WX
16206,0,,WX
57729,0,,WX
57728,0,,WX
61260,0,,WX
60423,0,,WX
59856,0,,WX
62193,0,,WX
43838,0,,WX
60589,0,,WX
60590,0,,WX
60587,0,,WX
52468,0,,WX
57758,0,,WX
51785,0,,WX
59838,0,,WX
56182,0,,WX
55453,0,,WX
62630,0,,WX
62613,0,,WX
62281,0,,WX
61988,0,,WX
61732,0,,WX
61731,0,,WX
61718,0,,WX
61806,0,,WX
61181,0,,WX
61180,0,,WX
55543,0,,WX
60174,0,,WX
60526,0,,WX
60525,0,,WX
60414,0,,WX
60354,0,,WX
60355,0,,WX
43418,0,,WX
60046,0,,WX
55979,0,,WX
52361,0,,WX
59892,0,,WX
59889,0,,WX
59890,0,,WX
56904,0,,WX
56948,0,,WX
56950,0,,WX
50120,0,,WX
20121,0,,WX
51866,0,,WX
51867,0,,WX
51931,0,,WX
51932,0,,WX
52196,0,,WX
52197,0,,WX
57890,0,,WX
58048,0,,WX
56662,0,,WX
56663,0,,WX
56658,0,,WX
56659,0,,WX
43360,0,,WX
46882,0,,WX
51935,0,,WX
52931,0,,WX
52932,0,,WX
54592,0,,WX
57040,0,,WX
57359,0,,WX
57557,0,,WX
57828,0,,WX
59567,0,,WX
51703,0,,WX
54644,0,,WX
56965,0,,WX
59566,0,,WX
52136,0,,WX
53086,0,,WX
57622,0,,WX
59131,0,,WX
58558,0,,WX
57906,0,,WX
57907,0,,WX
59491,0,,WX
59492,0,,WX
43877,0,,WX
46152,0,,WX
48227,0,,WX
48548,0,,WX
48930,0,,WX
48932,0,,WX
48934,0,,WX
48935,0,,WX
49424,0,,WX
50429,0,,WX
55580,0,,WX
55800,0,,WX
58969,0,,WX
56502,0,,WX
56503,0,,WX
56621,0,,WX
56622,0,,WX
56668,0,,WX
56624,0,,WX
56763,0,,WX
56764,0,,WX
54276,0,,WX
49946,0,,WX
57720,0,,WX
57721,0,,WX
58559,0,,WX
57755,0,,WX
55278,0,,WX
56189,0,,WX
58425,0,,WX
58088,0,,WX
57794,0,,WX
25302,0,,WX
25307,0,,WX
58002,0,,WX
58956,0,,WX
58723,0,,WX
58636,0,,WX
59465,0,,WX
59839,0,,WX
56766,0,,WX
59806,0,,WX
60140,0,,WX
61903,0,,WX
60723,0,,WX
61069,0,,WX
60929,0,,WX
61026,0,,WX
61905,0,,WX
61468,0,,WX
